
document id                                       score
37224                                             0.5254554635688246
28247                                             0.5159573082271693
38705                                             0.5106789777913797
46269                                             0.3576071417030294
43758                                             0.34382260564795397
30849                                             0.3427932848268252
43764                                             0.3287686963989941
42234                                             0.3282227823096795
39221                                             0.32398514221580194
52863                                             0.3183067822016524
