dist                    pat_10
1.1745455039949995      20000
1.1229832848718253      20000
1.2711831849966169      20000
0.8185087112106888      19158
1.2646529540402913      20000
1.1232834539328498      20000
1.1584838706218761      20000
0.99423319242998709     20000
0.19517756903150121     12044
0.30527511046815459     13666
0.94876198620412566     19914
0.99258258550393641     19692
1.2481319653645846      20000
0.93448194420479003     19828
1.2851097642260945      20000
0.82163928002733988     19142
1.0969392504351194      20000
1.0335496223700025      20000
0.0                     2
0.96694243616899989     19630
0.0                     2
0.72937726063053676     18670
0.96404797531809228     19988
0.44091468944390899     15958
0.98690663629416064     20000
1.0828249083039909      20000
0.087083736826630773    4338
1.2197261899617806      20000
1.1335054268776088      20000
0.93023356214481911     19872
0.057874542897523015    1504
0.17374371542196804     10282
0.088297482537806254    2592
0.1691848360774893      9446
0.05282424118179295     1158
0.97523722570743676     20000
0.59460627442452252     17646
0.22976744347929612     12106
1.1412480827379523      20000
0.97242830839037164     20000
1.015446592783845       20000
0.79095139092482913     19044
0.50724532864548788     16322
1.2377410771659254      20000
0.53610418882536826     17094
0.36975843356944832     14964
0.97488121394188176     20000
0.83884757077624494     19708
0.51066745527107171     16814
0.052992462278836694    892
