
top 10 documents with query scores:
	35764                                             0.7485855215497716
	36757                                             0.45642356701064485
	28447                                             0.4485122023599878
	31201                                             0.40167433041509054
	27956                                             0.3982440169613783
	48836                                             0.38399519632920565
	34483                                             0.37177964519685613
	45641                                             0.36831518815211023
	35519                                             0.3602781954293818
	42833                                             0.35978774884901304

querying takes 0.062645 seconds
