
top 10 documents with query scores:
	35764                                             2.844186935197738
	31201                                             1.3857425551146365
	35519                                             1.3401288704206218
	32647                                             1.219259327704126
	31267                                             1.106746205229146
	31268                                             1.106746205229146
	32579                                             1.106746205229146
	48836                                             1.103346499173076
	49868                                             1.08577130283106
	36757                                             1.0799435408654774

it takes 3.928893 seconds (when stdout is redirected to a file)
