
top 10 query results:
    document id                                       score
    54922                                             -26.780188733069437
    29975                                             -27.279843596358297
    49411                                             -27.293982083400316
    28485                                             -27.464219286618885
    50804                                             -27.56137197753717
    30606                                             -27.58312889821751
    49383                                             -27.640041294731283
    28279                                             -27.796165866604476
    33392                                             -27.86433339407523
    30861                                             -27.918669030396046
